no,name,price,type,area,bedrooms,bathrooms,receptions,district,city,postcode
755,Upshirebury Green,1195000,House,2737,4,4,4,Waltham Abbey,London,EN9 3ST
756,Eldon Grove,1100000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT
757,Frognal Lane,3000000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU
758,Pursers Cross Road,2150000,House,2416,5,5,5,Fulham,London,SW6 4QZ
759,Temple Sheen Road,1800000,House,2129,5,5,5,East Sheen,London,SW14 7RS
760,Spencer Gardens,1295000,House,1248,3,3,3,,London,SW14 7AH
761,Graveney Road,1125000,House,2137,5,5,5,,London,SW17 0EG
762,Ravenswood Road,1025000,House,1556,4,4,4,,London,SW12 9PN
763,Foxbourne Road,1675000,House,2346,5,5,5,,London,SW17 8EW
764,Weltje Road,2750000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT
765,Finborough Road,500000,Flat / Apartment,670,1,1,1,,London,SW10 9DA
766,Dewhurst Road,2520000,House,2638,5,5,5,Brook Green,London,W14 0ES
767,Sinclair Road,865000,Flat / Apartment,1023,2,2,2,,London,W14 0NP
768,Lurline Gardens,700000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB
769,Orbel Street,1350000,House,1295,3,3,3,Battersea,London,SW11 3NX
770,Riverwalk,3450000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA
771,Birdhurst Road,775000,Flat / Apartment,1066,3,3,3,,London,SW18 1AR
772,Wilna Road,1195000,House,1697,4,4,4,,London,SW18 3AY
773,Bradstock Road,725000,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ
774,Ashby Street,700000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED
775,Seward Street,695000,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA
776,Moor Lane,1299000,Flat / Apartment,827,2,2,2,City Of London,London,EC2Y 9BA
777,Hans Road,5950000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW
778,Richmond Hill,595000,Flat / Apartment,786,2,2,2,Richmond,London,TW10 6QX
779,Onslow Avenue,2100000,House,2296,4,4,4,Richmond,London,TW10 6QB
780,Rotherwood Road,1475000,House,1894,4,4,4,Putney,London,SW15 1LA
781,Larpent Avenue,2950000,House,3336,7,7,7,Putney,London,SW15 6UU
782,Granard Road,450000,Flat / Apartment,570,2,2,2,,London,SW12 8UJ
783,Worcester Gardens,550000,Flat / Apartment,672,2,2,2,,London,SW11 6LR
784,Pall Mall,2250000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH
785,Connaught Avenue,2750000,House,4925,6,6,6,Loughton,London,IG10 4DS
786,Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY
787,Aberdeen Road,650000,Flat / Apartment,667,1,1,1,,London,N5 2XA
788,Sandilands Road,850000,House,900,2,2,2,Fulham,London,SW6 2BD
789,Edenvale Street,825000,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF
790,Linver Road,1850000,House,1678,5,5,5,Fulham,London,SW6 3RB
791,Doulton House,1750000,Flat / Apartment,1390,3,3,3,11 Park Street,London,SW6 2FT
792,Lilyville Road,3150000,House,3100,5,5,5,Fulham,London,SW6 5DP
793,Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX
794,St. Marys Road,1995000,House,3605,6,6,6, Surbiton,London,KT6 5EU
795,Ember Lane,1595000,House,3304,6,6,6,Esher,London,KT10 8DZ
796,Cornwall Gardens,1195000,Flat / Apartment,752,2,2,2,,London,SW7 4BA
797,Sheen Common Drive,2650000,House,2229,4,4,4,Richmond,London,TW10 5BN
798,Aberdeen Wharf,950000,Flat / Apartment,973,2,2,2,94 Wapping High Street,London,E1W 2ND
799,Bishops Gate,1050000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF
800,Bishops Gate,695000,New development,678,2,2,2,82-88 Bishops Gate,London,SW6 3LF
801,Montem Terrace,3895000,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG
802,Belvedere Heights,425000,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ
803,Ashley Gardens,1300000,House,2484,4,4,4,Richmond,London,TW10 7BU
804,West Hill,439000,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF
805,Westbourne Park Road,4500000,House,2742,6,6,6,Notting Hill,London,W2 5PH
806,Lynette Avenue,599950,Flat / Apartment,689,1,1,1,,London,SW4 9HD
807,Ronalds Road,1500000,House,1327,4,4,4,Highbury,London,N5 1XB
808,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX
809,Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD
810,Hertford Road,435000,Flat / Apartment,565,1,1,1,,London,N1 5SH
811,Dartmouth Park Road,850000,Flat / Apartment,743,2,2,2,,London,NW5 1SN
812,The Chase,2695000,House,3125,4,4,4,,London,SW4 0NH
813,Wavendon Avenue,2250000,House,2389,5,5,5,Chiswick,London,W4 4NR
814,Chiswick,1700000,House,2033,5,5,5,,London,W4 3HA
815,Old Brompton Road,3450000,House,2160,4,4,4,,London,SW7 3RA
816,Castelnau,3250000,House,3098,5,5,5,Barnes,London,SW13 9ET
817,Dorville Crescent,650000,Flat / Apartment,650,2,2,2,,London,W6 0HJ
818,Television Centre,1395000,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT
819,Alexander Court,475000,Flat / Apartment,705,2,2,2,Wandsworth Common West Side,London,SW18 2EJ
820,Hotham Road,1250000,House,1810,3,3,3,Putney,London,SW15 1QJ
821,Danemere Street,1150000,House,1468,3,3,3,Putney,London,SW15 1LT
822,Meadowbank,625000,House,1213,4,4,4, Watford,London,WD19 4NP
823,Copperbeech Court,575000,Flat / Apartment,1092,2,2,2, Northwood,London,HA6 2YJ
824,North Side Wandsworth Common,695000,Flat / Apartment,815,2,2,2,,London,SW18 2SL
825,Manchuria Road,2100000,House,2325,5,5,5,,London,SW11 6AE
826,Mandalay Road,750000,Flat / Apartment,838,2,2,2,,London,SW4 9ED
827,Shelgate Road,1399000,House,1456,3,3,3,Battersea,London,SW11 1BQ
828,Pearson Square,4750000,Penthouse,1774,3,3,3,Fitzrovia,London,W1T 3BJ
829,Canonbury Lane,2275000,House,1969,4,4,4,Islington,London,N1 2AP
830,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET
831,Palewell Park,1995000,House,2707,5,5,5,East Sheen,London,SW14 8JH
832,Kings Road,899000,House,1109,3,3,3,,London,SW14 8PF
833,Richmond Park Road,1575000,House,2050,5,5,5,,London,SW14 8JU
834,Osprey Court,850000,Flat / Apartment,655,1,1,1,Star Place,London,E1W 1AG
835,Fernside Road,1250000,House,1683,4,4,4,,London,SW12 8LN
836,Paddenswick Road,3750000,House,3391,5,5,5,Ravenscourt Park,London,W6 0UA
837,Bollo Lane,995000,House,1423,5,5,5,Chiswick,London,W4 5LT
838,Devonshire Road,850000,House,1163,3,3,3,Chiswick,London,W4 2HD
839,Grove Court,2400000,Flat / Apartment,1898,4,4,4,Drayton Gardens,London,SW10 9QY
840,Kathleen Road,599950,Flat / Apartment,830,3,3,3,Battersea,London,SW11 2JR
841,Huntspill Street,875000,House,1334,5,5,5,,London,SW17 0AA
842,Eamont Court,675000,Flat / Apartment,602,2,2,2, St. Johns Wood,London,NW8 7DG
843,Murray Street,735000,Flat / Apartment,953,2,2,2,Camden,London,NW1 9RE
844,Mandalay Road,925000,Flat / Apartment,1082,2,2,2,,London,SW4 9ED
845,Mapesbury Road,1300000,House,2547,5,5,5,Brondesbury,London,NW2 4HJ
846,Birds Hill Road,7500000,House,12526,7,7,7,Oxshott,London,KT22 0NJ
847,Hereford Square,7450000,House,3997,6,6,6,South Kensington,London,SW7 4TS
848,Wilton Place,8250000,House,3188,5,5,5,Belgravia,London,SW1X 8RL
849,College Cross,2395000,House,2212,4,4,4,Islington,London,N1 1PT
850,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
851,Canonbury Park South,2550000,House,2241,5,5,5,Canonbury,London,N1 2JG
852,Upper Place,600000,New development,721,2,2,2, Clapton,London,E5 9BU
853,City Mills Apartments,590000,Flat / Apartment,702,2,2,2,Lee Street,London,E8 4FB
854,Eagle Mews,550000,House,674,2,2,2,Tottenham Road,London,N1 4ST
855,Brookville Road,1650000,House,1716,5,5,5, Fulham,London,SW6 7BH
856,Culmington Road,1250000,House,1700,4,4,4,Ealing,London,W13 9NB
857,Ravens Close,475000,Flat / Apartment,645,2,2,2,Surbiton,London,KT6 4QG
858,Pavilion Park,425000,New development,603,1,1,1, East Molesey,London,KT8 9DX
859,Liberty House,599000,Flat / Apartment,830,2,2,2,Ensign Street,London,E1 8JA
860,Chestnut Grove,1325000,House,1800,4,4,4,,London,SW12 8JG
861,Cottenham Park Road,1350000,Flat / Apartment,1862,3,3,3,Wimbledon,London,SW20 0RZ
862,Craven Gardens,1225000,House,1681,4,4,4,Wimbledon,London,SW19 8LU
863,Southlands Drive,650000,Flat / Apartment,779,2,2,2,Wimbledon,London,SW19 5QH
864,Springfield Road,6950000,House,3911,6,6,6,St. John's Wood,London,NW8 0QN
865,Loudoun Road,4495000,House,2607,4,4,4,St. John's Wood,London,NW8 0LT
866,Norfolk Mansions,599950,Flat / Apartment,969,3,3,3, Putney,London,SW18 1NU
867,The Glass House,465000,Flat / Apartment,461,1,1,1, Putney,London,SW15 1PR
868,Harley Road,749950,Flat / Apartment,650,2,2,2,,London,NW3 3BN
869,Altenburg Gardens,1050000,Flat / Apartment,1155,2,2,2,,London,SW11 1JL
870,Harbut Road,650000,Flat / Apartment,684,2,2,2,,London,SW11 2RB
871,Lavender Gardens,775000,Flat / Apartment,928,2,2,2,,London,SW11 1DN
872,Basilica Mews,2100000,New development,2132,4,4,4,,London,SW12 8UF
873,Kings Hill,1075000,House,2096,4,4,4,Loughton,London,IG10 1HY
874,Oakley Road,625000,Flat / Apartment,676,1,1,1,,London,N1 3LL
875,The Pryors,1800000,Flat / Apartment,1405,3,3,3, Hampstead,London,NW3 1BS
876,Gosberton Road,775000,Flat / Apartment,1368,3,3,3,,London,SW12 8LG
877,Chiswick High Road,2050000,New development,2875,4,4,4,Chiswick,London,W4 5RG
878,Lonsdale Road,775000,Flat / Apartment,936,2,2,2,Barnes,London,SW13 9PY
879,Dalebury Road,885000,Flat / Apartment,1258,2,2,2,,London,SW17 7HH
880,Rosenau Road,2400000,House,2803,6,6,6,Battersea,London,SW11 4QX
881,Circle Gardens,825000,House,1388,3,3,3,Wimbledon,London,SW19 3JU
882,Queens Road,2250000,House,2946,4,4,4,Kingston upon Thames,London,KT2 7SN
883,Vanderbilt Road,1125000,House,1566,5,5,5,,London,SW18 3BG
884,Alma Road,1000000,House,1306,4,4,4,Wandsworth,London,SW18 1AH
885,Kennet House,350000,Flat / Apartment,670,2,2,2, Lisson Grove,London,NW8 8HB
886,Church Road,600000,House,1041,2,2,2,Northwood,London,HA6 1AR
887,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
888,Roseneath Road,2050000,House,2202,3,3,3,,London,SW11 6AG
889,Cologne Road,765000,Duplex,992,2,2,2,St John's Hill,London,SW11 2AJ
890,Randolph Avenue,1675000,Flat / Apartment,1101,2,2,2,Little Venice,London,W9 1DW
891,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
892,Harley Place,1350000,Mews,993,2,2,2,Marylebone,London,W1G 8QE
893,Victoria Road,8850000,House,3813,5,5,5,,London,W8 5RF
894,Edwardes Square,3850000,House,2285,4,4,4,,London,W8 6HE
895,Canonbury Square,2500000,House,2537,6,6,6,Islington,London,N1 2AU
896,Tollington Way,575000,New development,840,2,2,2, London,London,N7 6RG
897,Compton Avenue,4650000,House,4653,7,7,7,Highgate,London,N6 4LH
898,New Road,4950000,House,7043,6,6,6,Esher,London,KT10 9PG
899,Pavilion Park,555000,New development,753,2,2,2, East Molesey,London,KT8 9DX
900,Courtfield Gardens,3750000,Flat / Apartment,1902,4,4,4,,London,SW5 0PH
901,Buxton Road,1050000,House,1338,3,3,3,,London,SW14 8SY
902,Newark Street,1775000,House,2200,4,4,4,,London,E1 2AA
903,Lime Quarter,550000,New development,773,2,2,2,Bow,London,E3 3PJ
904,Marlborough Road,2700000,House,2953,7,7,7,Chiswick,London,W4 4ET
905,Chiswick Village,399950,Flat / Apartment,580,2,2,2,Gunnersbury,London,W4 3BY
906,Carlton House,595000,New development,545,1,1,1,Carlton Drive,London,SW15 2BS
907,Fulham Road,3200000,House,2988,4,4,4,,London,SW10 9TU
908,Siddal Apartments,675000,Flat / Apartment,778,2,2,2, Elephant Park,London,SE17 1FQ
909,Darlaston Road,765000,New development,864,2,2,2,Wimbledon,London,SW19 4LF
910,Tranmere Road,800000,Flat / Apartment,1428,4,4,4,,London,SW18 3QT
911,St. Johns Wood Road,835000,Flat / Apartment,651,1,1,1,St. John's Wood,London,NW8 8RE
912,Sheen Road,1200000,House,1662,4,4,4,Richmond,London,TW9 1YJ
913,Portland Chambers,2395000,Flat / Apartment,1160,2,2,2, Fitzrovia,London,W1W 6RP
914,Devonshire Place Mews,3250000,House,1738,3,3,3,Marylebone,London,W1G 6DD
915,Chelsea Waterfront,2990000,New development,1451,3,3,3, Chelsea,London,SW10 0QH
916,Thornhill Crescent,499950,Flat / Apartment,388,1,1,1,,London,N1 1BJ
917,Worple Street,1800000,House,4225,5,5,5,Mortlake,London,SW14 8HE
918,Vicarage Road,2300000,House,2800,6,6,6,East Sheen,London,SW14 8RU
919,The Madison,573000,New development,429,0,0,0,199 To 207 Marsh Wall,London,E14 9YT
920,Hatton Place,835000,Flat / Apartment,704,2,2,2,Clerkenwell,London,EC1N 8RU
921,Lonsdale Road,2200000,House,2354,5,5,5, Chiswick,London,W4 1ND
922,Sinclair Road,700000,Flat / Apartment,680,1,1,1,,London,W14 0NR
923,Queen Anne's Gate,2775000,Flat / Apartment,1711,3,3,3,St. James's,London,SW1H 9AA
924,Chapman Square,750000,Flat / Apartment,1076,3,3,3,Wimbledon,London,SW19 5QT
925,Burntwood Grange Road,1195000,House,1538,3,3,3,,London,SW18 3JY
926,Melody Road,1425000,House,2173,5,5,5,Wandsworth,London,SW18 2QG
927,Northiam Street,380000,Flat / Apartment,420,1,1,1,South Hackney,London,E9 7HQ
928,Middlefield Close,899950,House,2915,5,5,5, Coulsdon,London,CR5 3NX
929,Fairfax Mews,2000000,House,2149,5,5,5,Putney,London,SW15 6FF
930,Nicholas Way,2995000,House,5517,7,7,7,Northwood,London,HA6 2TR
931,Althorp Road,1490000,House,1875,5,5,5,Bellevue Village,London,SW17 7ED
932,Hillier Road,1750000,House,2364,5,5,5,,London,SW11 6AX
933,Basilica Mews,2000000,New development,2347,4,4,4,,London,SW12 8UF
934,The Printworks,710000,New development,818,2,2,2, Crouch End,London,N8 9BU
935,Bishops Gate,915000,New development,810,2,2,2,82-88 Fulham High Street,London,SW6 3LF
936,Theberton Street,2000000,House,2078,4,4,4,Barnsbury,London,N1 0QY
937,Halton Road,425000,Flat / Apartment,495,1,1,1,Canonbury,London,N1 2EN
938,Hornsey Street,499950,Flat / Apartment,656,2,2,2,Lower Holloway,London,N7 8HE
939,Wentworth Mansions,1050000,Flat / Apartment,1186,3,3,3,Keats Grove,London,NW3 2RL
940,Hurlingham Square,1150000,House,1906,5,5,5, Fulham,London,SW6 3DZ
941,Christchurch Road,1825000,House,2100,4,4,4,,London,SW14 7AB
942,Tantallon Road,1325000,House,1795,4,4,4,,London,SW12 8DQ
943,Airedale Road,1450000,House,1950,4,4,4,,London,SW12 8SF
944,Liberty Mews,895000,House,1112,3,3,3,,London,SW12 8EE
945,Landmark Place At Tower Bridge,1499995,New development,1142,2,2,2,Water Lane,London,EC3R 6EA
946,Esmond Road,550000,Flat / Apartment,853,2,2,2,Chiswick,London,W4 1JG
947,Elm Park Mansions,550000,Flat / Apartment,500,1,1,1,Park Walk,London,SW10 0AN
948,Archway Street,1050000,House,1261,3,3,3,Barnes,London,SW13 0AR
949,Gerard Road,2750000,House,2637,4,4,4,Barnes,London,SW13 9RG
950,Warriner Gardens,1785000,House,2061,5,5,5,Battersea,London,SW11 4DU
951,Vandon Court,450000,Studio,332,0,0,0, Westminster,London,SW1H 9HE
952,Selhurst Close,375000,Flat / Apartment,515,1,1,1,Wimbledon,London,SW19 6AY
953,Lowndes Square,5500000,Flat / Apartment,1973,3,3,3,Belgravia,London,SW1X 9JX
954,Mount Ararat Road,2850000,House,3008,5,5,5,Richmond,London,TW10 6PQ
955,Mount Ararat Road,2450000,House,2300,5,5,5,Richmond,London,TW10 6PH
956,Copse Wood Way,1600000,House,2071,4,4,4,Northwood,London,HA6 2TZ
957,Hale End Road,450000,Flat / Apartment,790,2,2,2,Woodford Green,London,IG8 9LL
958,Bishops Gate,2000000,New development,1688,4,4,4,82-88 Fulham High Street,London,SW6 3LF
959,Offord Road,1595000,House,1828,3,3,3,Barnsbury,London,N1 1PF
960,Walpole Court,600000,Flat / Apartment,780,2,2,2,27-33 Fairfax Road,London,NW6 4ES
961,Pavilion Park,545000,New development,767,2,2,2, East Molesey,London,KT8 9DX
962,Ormeley Road,995000,House,1310,4,4,4,,London,SW12 9QG
963,Valetta Road,1050000,House,1355,4,4,4,Wendell Park,London,W3 7TQ
964,Hudson House,1385000,Flat / Apartment,990,3,3,3,Hortensia Road,London,SW10 0QR
965,Claremont Lodge,650000,Flat / Apartment,1106,2,2,2, Wimbledon,London,SW20 8UA
966,Albert Court,10950000,Flat / Apartment,3111,3,3,3,Prince Consort Road,London,SW7 2BH
967,Wimbledon Park Road,375000,Flat / Apartment,525,1,1,1,Putney,London,SW18 5SJ
968,Normanby Close,899000,House,1168,3,3,3,Putney,London,SW15 2RL
969,Sefton Street,995000,House,1055,3,3,3,Putney,London,SW15 1NA
970,Werter Road,1695000,House,2368,5,5,5,Putney,London,SW15 2LJ
971,Lockyer House,495000,Flat / Apartment,815,2,2,2, Putney,London,SW15 1EE
972,Ainger Road,775000,Flat / Apartment,665,2,2,2,Primrose Hill,London,NW3 3AR
973,The Drive,950000,House,2348,4,4,4,Northwood,London,HA6 1HW
974,Halland Way,1750000,House,4387,4,4,4,Northwood,London,HA6 2BY
975,Thornton Place,1150000,Flat / Apartment,1582,3,3,3,Clapham Common North Side,London,SW4 0AB
976,Sheldon Avenue,4400000,House,4102,5,5,5,Highgate,London,N6 4JS
977,Bartholomew Road,2300000,House,2362,5,5,5,Kentish Town,London,NW5 2AJ
978,Eaton Rise,775000,New development,983,3,3,3,,London,W5 2HE
979,Nevern Mansions,625000,Flat / Apartment,676,1,1,1,42 Warwick Road,London,SW5 9TJ
980,Graemesdyke Avenue,1300000,House,1496,4,4,4,,London,SW14 7BJ
981,Choumert Square,525000,House,540,1,1,1,,London,SE15 4RE
982,Garrett Street,849999,Flat / Apartment,802,2,2,2,,London,EC1Y 0TY
983,Chiswick High Road,525000,New development,581,1,1,1,Chiswick,London,W4 5RG
984,Rosaville Road,1650000,House,1648,4,4,4,,London,SW6 7BL
985,Marian Lodge,635000,Flat / Apartment,936,2,2,2, Wimbledon,London,SW20 8HJ
986,South Park Road,1550000,House,1884,4,4,4,Wimbledon,London,SW19 8SZ
987,Beacon Tower,1000000,Penthouse,1190,3,3,3, Wandsworth,London,SW18 4GN
988,Basil Mansions,5500000,Flat / Apartment,2497,3,3,3,Basil Street,London,SW3 1AP
989,Neville House,450000,Flat / Apartment,646,1,1,1,137 London Road,London,TW1 1EG
990,Rossway Drive,600000,House,1202,4,4,4,Bushey,London,WD23 3EW
991,Wendover Court,1325000,Flat / Apartment,779,2,2,2, Marylebone,London,W1U 7NX
992,Furze Field,6950000,New development,11177,6,6,6,Oxshott,London,KT22 0UR
993,Halliford Street,950000,Flat / Apartment,1023,2,2,2,Canonbury,London,N1 3EJ
994,Tollington Way,430000,New development,538,1,1,1, London,London,N7 6RG
995,Malthouse Court,700000,Flat / Apartment,1121,2,2,2, Brentford,London,TW8 0FR
996,Cairn Avenue,1150000,House,1580,4,4,4,Ealing,London,W5 5HX
997,Eaton Rise,795000,New development,989,3,3,3,,London,W5 2HE
998,Redcliffe Gardens,1150000,Flat / Apartment,911,2,2,2,,London,SW10 9JJ
999,Gosberton Road,1450000,House,2000,5,5,5,,London,SW12 8LG
1000,Kirkstall Road,1550000,House,2328,5,5,5,,London,SW2 4HF
1001,Morton Apartments,730000,Penthouse,1127,3,3,3,Royal Albert Wharf,London,E16 2QJ
1002,Knowsley Road,860000,House,1010,2,2,2,Battersea,London,SW11 5BL
1003,The View,1250000,Flat / Apartment,960,2,2,2, Westminster,London,SW1E 5BA
1004,Bangalore Street,1295000,House,1940,5,5,5,Putney,London,SW15 1QD
1005,Ross Court,595000,Flat / Apartment,1452,3,3,3, Putney,London,SW15 3NY
1006,Wroughton Road,1600000,House,1875,4,4,4,,London,SW11 6BG
1007,Portland Chambers,3995000,New development,2694,3,3,3, Fitzrovia,London,W1W 6RP
1008,Daleham Mews,3000000,House,2011,4,4,4,Belsize Park,London,NW3 5DB
1009,Ringmer Avenue,2500000,House,2907,5,5,5,Fulham,London,SW6 5LW
1010,Meadows House,6350000,Penthouse,4689,4,4,4, Fulham,London,SW6 2FQ
1011,Manor Road South,1350000,House,2545,4,4,4,Esher,London,KT10 0PY
1012,Deanhill Road,1175000,House,1263,3,3,3,East Sheen,London,SW14 7DF
1013,Cupar Road,2100000,House,2360,4,4,4,Battersea,London,SW11 4JW
1014,Ordish Apartments,745000,Flat / Apartment,1181,3,3,3,162 Gideon Road,London,SW11 5ET
1015,Moreton Terrace,560000,Flat / Apartment,468,1,1,1,Pimlico,London,SW1V 2NS
1016,Spencer Hill,2450000,House,3831,5,5,5,Wimbledon,London,SW19 4NY
1017,Pepys Road,2295000,House,4569,5,5,5,Wimbledon,London,SW20 8NP
1018,Dudley Road,2395000,House,2443,5,5,5,Wimbledon,London,SW19 8PN
1019,Tannery House,1250000,Penthouse,1600,2,2,2, Spitalfields,London,E1 5AG
1020,Gaumont Tower,850000,Flat / Apartment,1254,3,3,3, Dalston,London,E8 3BQ
1021,Hasker Street,2975000,House,1522,3,3,3,,London,SW3 2LQ
1022,River Lane,7500000,House,6863,5,5,5,Richmond,London,TW10 7AG
1023,Townshend Terrace,1285000,House,1011,3,3,3,Richmond,London,TW9 1XJ
1024,Roehampton Vale,795000,House,2472,5,5,5,Putney,London,SW15 3PG
1025,Weldin Mews,835000,House,1297,3,3,3,Putney,London,SW18 1FT
1026,Bishops Avenue,925000,Bungalow,1270,2,2,2,Northwood,London,HA6 3DD
1027,Wildacres,1595000,House,3578,5,5,5,Northwood,London,HA6 3JD
1028,St. Petersburgh Place,5500000,House,4227,9,9,9,,London,W2 4LA
1029,Dorlcote Road,3500000,House,3709,7,7,7,Wandsworth,London,SW18 3RT
1030,Henderson Road,3500000,House,4095,5,5,5,,London,SW18 3RR
1031,Tregarvon Road,730000,Flat / Apartment,833,2,2,2,,London,SW11 5QE
1032,Chiltern Way,995000,House,1889,4,4,4,Woodford Green,London,IG8 0RQ
1033,Monkhams Avenue,1195000,House,1720,4,4,4,Woodford Green,London,IG8 0HA
1034,Ollards Grove,1395000,House,2427,5,5,5,Loughton,London,IG10 4DW
1035,Ovington Street,3850000,House,1643,3,3,3,,London,SW3 2JA
1036,Cloudesley Place,1200000,House,1298,4,4,4,Barnsbury,London,N1 0JA
1037,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
1038,Carronade Court,500000,Flat / Apartment,794,2,2,2, Holloway,London,N7 8GP
1039,Balls Pond Road,575000,Flat / Apartment,1034,2,2,2,De Beauvoir,London,N1 4BW
1040,Annette Road,575000,Flat / Apartment,741,2,2,2,Holloway,London,N7 6PE
1041,Southgate Court,449950,Flat / Apartment,759,3,3,3,Southgate Road,London,N1 3JR
1042,Noel Road,2650000,House,2311,2,2,2,Islington,London,N1 8HA
1043,Highbury Gardens,500000,Flat / Apartment,492,1,1,1,52 Holloway Road,London,N7 8BU
1044,Lodge Mews,1050000,House,1248,4,4,4,Aberdeen Park,London,N5 2BD
1045,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
1046,Heathside,499950,Flat / Apartment,690,2,2,2, Golders Green,London,NW11 7SB
1047,Walham Yard,1690000,House,2099,4,4,4,Fulham,London,SW6 1JA
1048,The Mount,1650000,House,2644,4,4,4,Esher,London,KT10 8LQ
1049,The Mount,1995000,House,5982,5,5,5,Esher,London,KT10 8LQ
1050,Eardley Crescent,385000,Studio,297,0,0,0,,London,SW5 9JT
1051,Cornwall Gardens,1450000,Flat / Apartment,963,2,2,2,South Kensington,London,SW7 4AX
1052,Anchor Brewhouse,1750000,Flat / Apartment,1189,2,2,2,50 Shad Thames,London,SE1 2LY
1053,Wapping Lane,450000,Studio,680,0,0,0,,London,E1W 2RX
1054,Lock Side Way,575000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ
1055,Carlton House,730000,New development,665,2,2,2,London,London,SW15 2BS
1056,Chiswick High Road,575000,New development,558,1,1,1,Chiswick,London,W4 5RG
1057,Chelsea Park Gardens,4950000,House,2079,5,5,5,,London,SW3 6AE
1058,Westfields,485000,Flat / Apartment,786,3,3,3, Barnes,London,SW13 0PJ
1059,Simmons Lane,350000,New development,678,1,1,1,,London,E4 6JH
1060,Welbeck Court,500000,Flat / Apartment,564,2,2,2, West Kensington,London,W14 8XW
1061,Wandle Road,1450000,House,1981,3,3,3,,London,SW17 7DL
1062,Horseferry Road,1995000,House,2188,4,4,4,Westminster,London,SW1P 2EE
1063,Barmouth Road,1250000,House,1962,5,5,5,Wandsworth,London,SW18 2DP
1064,Melody Road,1750000,House,2266,5,5,5,Wandsworth,London,SW18 2QF
1065,Jessica Road,1675000,House,2485,6,6,6,Wandsworth,London,SW18 2QN
1066,Southborough Road,1700000,House,1958,4,4,4,South Hackney,London,E9 7EF
1067,Quaker Street,799950,Penthouse,842,2,2,2,Shoreditch,London,E1 6SY
1068,Dovehouse Street,7450000,House,3285,5,5,5,,London,SW3 6JZ
1069,Watcombe Cottages,900000,House,836,2,2,2,Richmond,London,TW9 3BD
1070,Roehampton Gate,2100000,House,2565,5,5,5,Putney,London,SW15 5JS
1071,Upper Montagu Street,995000,Flat / Apartment,836,2,2,2,,London,W1H 1RP
1072,Eden Grove,599995,Flat / Apartment,926,2,2,2,Lower Holloway,London,N7 8EF
1073,Offord Road,435000,Flat / Apartment,439,1,1,1,Barnsbury,London,N1 1LR
1074,Upper Street,565000,Flat / Apartment,793,2,2,2,,London,N1 2TZ
1075,Lancaster Stables,1450000,Mews,1568,4,4,4, Belsize Park,London,NW3 4PH
1076,Blackhills,3495000,House,7886,6,6,6,Esher,London,KT10 9JP
1077,Landmark Place At Tower Bridge,2995000,New development,1446,2,2,2,Water Lane,London,EC3R 6EA
1078,Landmark Place At Tower Bridge,2495000,New development,1163,2,2,2,Water Lane,London,EC3R 6EA
1079,Anhalt Road,3050000,House,2599,5,5,5,Battersea,London,SW11 4NX
1080,Melody Road,1450000,House,1669,4,4,4,Wandsworth,London,SW18 2QW
1081,Trefoil Road,1450000,House,2136,5,5,5,,London,SW18 2EQ
1082,Schubert Road,1650000,House,2270,4,4,4,Putney,London,SW15 2QS
1083,Oakside Court,500000,New development,808,2,2,2, Northwood,London,HA6 1AW
1084,Basilica Mews,2100000,New development,2132,4,4,4,,London,SW12 8UF
1085,Bishops Gate,2000000,New development,1693,4,4,4,82-88 Fulham High Street,London,SW6 3LF
1086,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
